"""584"""$"""549"""$"""Guamundur Steinsson"""$"""59"""$"""119920"""$"""0"""
"""596"""$"""571"""$"""Pétur Pétursson"""$"""4"""$"""49356"""$"""0"""
"""597"""$"""571"""$"""Pétur Ormslev"""$"""15"""$"""6375"""$"""0"""
"""598"""$"""571"""$"""Kjartan Einarsson"""$"""43"""$"""118745"""$"""0"""
"""599"""$"""571"""$"""Pétur Pétursson"""$"""88 p"""$"""49356"""$"""0"""
"""677"""$"""643"""$"""Lárus Orri Sigurósson"""$"""8"""$"""8131"""$"""0"""
"""713"""$"""668"""$"""kórhallur Örn Hinriksson"""$"""35"""$"""119152"""$"""0"""
"""730"""$"""681"""$"""Grétar Ratn Steinsson"""$"""75"""$"""30627"""$"""0"""
"""773"""$"""716"""$"""Voldemars Plade"""$"""8"""$"""122955"""$"""0"""
"""774"""$"""716"""$"""Voldemars Zins"""$"""17"""$"""124570"""$"""0"""
"""775"""$"""716"""$"""Aivids Bradins"""$"""39"""$"""122562"""$"""0"""
"""776"""$"""716"""$"""Voldemars Plade"""$"""57"""$"""122955"""$"""0"""
"""777"""$"""716"""$"""Voldemars Zins"""$"""58"""$"""124570"""$"""0"""
"""778"""$"""716"""$"""Voldemars Zins"""$"""89"""$"""124570"""$"""0"""
"""851"""$"""764"""$"""Ilja Vestermans"""$"""25"""$"""124547"""$"""0"""
"""926"""$"""833"""$"""Vits Rinıkus"""$"""51"""$"""8059"""$"""0"""
"""927"""$"""833"""$"""Vits Rinıkus"""$"""85"""$"""8059"""$"""0"""
"""940"""$"""847"""$"""Aleksandrs Jelisejevs"""$"""66"""$"""122628"""$"""0"""
"""1086"""$"""1116"""$"""Marcel Paulus"""$"""62"""$"""256031"""$"""0"""
"""1087"""$"""1116"""$"""Léon Letsch"""$"""63"""$"""108627"""$"""0"""
"""1093"""$"""1167"""$"""Léon Letsch, Albert Schanck 2, Nicolas Kettel, Henri Cirelli, Vets"""$$"""108627"""$"""0"""
"""1097"""$"""1176"""$"""Robert Mond"""$$"""108779"""$"""0"""
"""1099"""$"""1201"""$"""Adolphe Schmit, L.Walker"""$$"""109307"""$"""0"""
"""1187"""$"""1469"""$"""René Peters"""$"""35"""$"""9188"""$"""0"""
"""1188"""$"""1469"""$"""Daniel Huss"""$"""80"""$"""7925"""$"""0"""
"""1208"""$"""1514"""$"""Oliver Losco"""$"""7"""$"""112785"""$"""0"""
"""1224"""$"""1546"""$"""Cannel Muscat"""$"""72"""$"""112927"""$"""0"""
"""1254"""$"""1589"""$"""Kristian Laferla"""$"""83"""$"""112778"""$"""0"""
"""1287"""$"""1650"""$"""Noel Turner"""$"""53"""$"""7796"""$"""0"""
"""1345"""$"""1733"""$"""Alexandru Spiridon"""$"""27"""$"""113260"""$"""0"""
"""1346"""$"""1733"""$"""Gheorghe Harea"""$"""50"""$"""113181"""$"""0"""
"""1347"""$"""1734"""$"""Berghei Alexandrov"""$"""5"""$"""113081"""$"""0"""
"""1348"""$"""1735"""$"""Alexei Scala"""$"""25"""$"""113213"""$"""0"""
"""1349"""$"""1735"""$"""Sergheí Alexandrov"""$"""5"""$"""113081"""$"""0"""
"""1350"""$"""1735"""$"""Sergheí Alexandrov"""$"""55p"""$"""113081"""$"""0"""
"""1351"""$"""1735"""$"""Sergheí Alexandrov"""$"""70"""$"""113081"""$"""0"""
"""1352"""$"""1735"""$"""Sergheí Alexandrov"""$"""75"""$"""113081"""$"""0"""
"""1353"""$"""1736"""$"""Alexandru Spiridon"""$"""15"""$"""113260"""$"""0"""
"""1354"""$"""1736"""$"""Igor Oprea"""$"""70"""$"""15997"""$"""0"""
"""1355"""$"""1739"""$"""Iurie Miterev"""$"""40"""$"""17018"""$"""0"""
"""1356"""$"""1739"""$"""Iurie Miterev"""$"""59"""$"""17018"""$"""0"""
"""1357"""$"""1739"""$"""Iurie Miterev"""$"""70"""$"""17018"""$"""0"""
"""1359"""$"""1743"""$"""Berghei Cleşcenco"""$"""10"""$"""7958"""$"""0"""
"""1360"""$"""1743"""$"""Berghei Cleşcenco"""$"""41"""$"""7958"""$"""0"""
"""1401"""$"""1799"""$"""Serghei Cleşceneo"""$"""11"""$"""7953"""$"""0"""
"""1402"""$"""1799"""$"""Radu Rebeja"""$"""76"""$"""7946"""$"""0"""
"""1438"""$"""1840"""$"""Stanislaw Czulak"""$"""6"""$"""108298"""$"""0"""
"""1439"""$"""1840"""$"""Zygmunt Chruściński"""$"""32"""$"""108237"""$"""0"""
"""1477"""$"""1858"""$"""Henryk Reyman"""$"""68"""$"""111671"""$"""0"""
"""1477"""$"""1858"""$"""Henryk Reyman"""$"""68"""$"""111671"""$"""0"""
"""1478"""$"""1858"""$"""Henryk Reyman"""$"""72"""$"""111671"""$"""0"""
"""1478"""$"""1858"""$"""Henryk Reyman"""$"""72"""$"""111671"""$"""0"""
"""1517"""$"""1872"""$"""Henryk Martyna"""$"""52 p"""$"""75766"""$"""0"""
"""1542"""$"""1885"""$"""Karol Pazurek"""$"""36"""$"""111532"""$"""0"""
"""1604"""$"""1913"""$"""Tadeusz Hogendorf"""$"""68"""$"""109332"""$"""0"""
"""1605"""$"""1913"""$"""Gerard Cieślik"""$"""79"""$"""108243"""$"""0"""
"""1606"""$"""1913"""$"""Gerard Cieślik"""$"""81"""$"""108243"""$"""0"""
