"98"$"141"$"Kohler"$"57"$"0"$"0"
"99"$"141"$"Kohler"$$"0"$"0"
"3335"$"3057"$"Jacinto"$"71"$"0"$"0"
"3339"$"3061"$"Peres"$"86"$"0"$"0"
"3342"$"3068"$"Patrick Stanton"$"25 "$"0"$"0"
"3350"$"3071"$"Peres"$"90 p"$"0"$"0"
"3351"$"3072"$"Hunıberto Coelho"$"8"$"0"$"0"
"3353"$"3072"$"Artiır Jorge"$"46"$"0"$"0"
"3354"$"3072"$"Jordào"$"83"$"0"$"0"
"3362"$"3077"$"Peres"$"35"$"0"$"0"
"3376"$"3090"$"Octavio"$"4"$"0"$"0"
"3378"$"3091"$"Marinlıo"$"64"$"0"$"0"
"3379"$"3094"$"Neiié"$"25"$"0"$"0"
"3381"$"3095"$"Ňené"$"7"$"0"$"0"
"3382"$"3097"$"Alves"$"21"$"0"$"0"
"3383"$"3098"$"Fragnito"$"82"$"0"$"0"
"3386"$"3103"$"Alves"$"50"$"0"$"0"
"3396"$"3108"$"Costa"$"30"$"0"$"0"
"3400"$"3112"$"Alves"$"35"$"0"$"0"
"3434"$"3143"$"Jukka Ikälainen"$"46 "$"0"$"0"
"3440"$"3149"$"Sousa"$"52"$"0"$"0"
"3449"$"3157"$"Gores"$"13"$"0"$"0"
"3450"$"3157"$"Gores"$"73"$"0"$"0"
"3466"$"3175"$"Gores"$"34"$"0"$"0"
"3470"$"3181"$"Paneira"$"65"$"0"$"0"
"3471"$"3182"$"Paneira"$"53"$"0"$"0"
"3480"$"3184"$"Paneira"$"68"$"0"$"0"
"3481"$"3189"$"Rui Aguas"$"72"$"0"$"0"
"3482"$"3190"$"Rui Aguas"$"44"$"0"$"0"
"3483"$"3190"$"Rui Aguas"$"51"$"0"$"0"
"3484"$"3190"$"Rui Baios"$"72"$"0"$"0"
"3485"$"3192"$"Rui Aguas"$"57"$"0"$"0"
"3486"$"3194"$"Rui Aguas"$"53"$"0"$"0"
"3488"$"3197"$"Rui Aguas"$"18"$"0"$"0"
"3491"$"3199"$"Rui Aguas"$"4"$"0"$"0"
"3493"$"3199"$"Paneira"$"40 p"$"0"$"0"
"3498"$"3204"$"Joao Vieira Pinto"$"16"$"0"$"0"
"3502"$"3212"$"Figo"$"16"$"0"$"0"
"3504"$"3213"$"Ruí Aguas"$"58"$"0"$"0"
"3514"$"3218"$"João Vieira Pinto"$"23"$"0"$"0"
"3518"$"3220"$"João Vieira Pinto"$"8"$"0"$"0"
"3526"$"3226"$"João Vieira Pinto"$"32"$"0"$"0"
"3527"$"3226"$"João Vieira Pinto"$"69"$"0"$"0"
"3528"$"3226"$"Figo"$"70"$"0"$"0"
"3529"$"3227"$"Figo"$"36"$"0"$"0"
"3533"$"3228"$"João Vieira Pinto"$"56"$"0"$"0"
"3541"$"3233"$"Figo"$"4"$"0"$"0"
"3551"$"3240"$"Follia"$"51"$"0"$"0"
"3555"$"3245"$"Figo"$"4"$"0"$"0"
"3556"$"3245"$"João Vieira Pinto"$"33"$"0"$"0"
"3558"$"3248"$"João Vieira Pinto"$"83"$"0"$"0"
"3559"$"3249"$"Figo"$"11"$"0"$"0"
"3563"$"3255"$"João Vieira Pinto"$"14"$"0"$"0"
"3564"$"3255"$"Figo"$"70"$"0"$"0"
"3566"$"3256"$"Figo"$"30"$"0"$"0"
"3575"$"3263"$"João Vieira Pinto"$"16"$"0"$"0"
"3576"$"3263"$"João Vieira Pinto"$"33"$"0"$"0"
"3581"$"3266"$"João Vieira Pinto"$"36"$"0"$"0"
