"""749""","""52""","""50""","""30.08.1932""","""5`h Baltic Cup ""","""ж ,, Riga, ""","""S. Klang""","""Sweden""","""5000""","""LATVIA""","""ESTONLА	""","""1""","""0""","""0""","""0""",,"""0""","""L	""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""756""","""52""","""57""","""03.09.1933""","""6h Baltic Cup ""","""Ka uomenés, Kaunas, ""","""YrjO Tuhkunen""","""Finland""","""3000""","""ESТONlA""","""LATVIA	""","""0""","""1""","""0""","""1""",,"""0""","""LE t ""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""769""","""53""","""70""","""08.09.1935""",,"""Kariuomenés, Kaunas, ""","""Hansen""","""Denmark""","""5000""","""LITHUTANIA""","""LATVIA	""","""2""","""2""","""1""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""775""","""54""","""76""","""31.08.1936""","""gm ВаІtс Cup ""","""Јкѕ, Riga, ""","""Rudolf Eklõv""","""Sweden""","""10000""","""LATVIA""","""EsTONIA	""","""2""","""1""","""2""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""778""","""54""","""79""","""12.07.1937""",,"""АЅК, Riga, ""","""Gustav Krist""","""Czechoslovakia""","""8000""","""LnTVIA""","""RONt&N""","""0""","""6""",,,,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""784""","""54""","""85""","""0510.1937""","""3 WC.Qualtfiers ""","""Prater, Wien, ""","""Pál von Hertzka""","""Hungary""","""16000""","""АUЅТRІА""","""LАТVіА	""","""2""","""1""","""2""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""785""","""54""","""86""","""10.10.1937""",,"""Pogott, Katowice, ""","""Denis Xifando""","""Romania""","""22000""","""POLAND""","""LATViA	        ""","""2""","""1""","""0""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""786""","""54""","""87""","""17.05.1938""",,"""АЅК, Riga, ""","""Alois Beranek""","""Austria""","""12000""","""LATViA""","""LiTHUANIA	""","""2""","""1""","""0""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""789""","""54""","""90""","""20.07.1938""",,"""Kadriorg, TaHinn, ""","""H. Bouillon""","""Germany""","""6000""","""ENTONIA""","""LATVIA	""","""0""","""2""","""0""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""790""","""54""","""91""","""28.05.1938""",,"""Ask, Riga, ""","""Alois І3егаnеk""","""Austria""","""13000""","""LATViA""","""СZЕСНОЅLОVAKIA ""","""2""","""1""","""1""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""792""","""55""","""93""","""05.09.1938""","""10`"""" Baltic Cup ""","""Kadriorg, Tallinn, ""","""H. Bouillon""","""Germany""","""12000""","""ESTONLЛ""","""LATVIA	""","""1""","""1""","""0""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""797""","""55""","""98""","""24.09.1939""",,"""Olympia, Helsinki, ""","""Dr. Otto Recoke""","""Denmark""","""4097""","""FINLAND""","""LAT«A	""","""0""","""3""","""0""","""1""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""798""","""55""","""99""","""18.07.1940""",,"""Kadriorg, Tallinn, ""","""Vale0ionas BalciOnas""","""Lithuania""","""7000""","""ESTONIA""","""LATVTA	""","""2""","""1""","""1""","""0""",,"""0""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""801""","""55""","""102""","""10.07.1992""","""11 `"""" Baltic Cup ""","""Daugava, Liepaja, ""","""A. Rezepovas""","""Lithuania""","""1200""","""IA""","""ESTONIA	""","""2""","""1""","""2""","""0""","""Janis Gilis""","""3""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""805""","""55""","""106""","""12.09.1992""","""15th WC.Qualifiers ""","""Lansdowne Road, Dublin, ""","""Anders Frisk""","""Sweden""","""32000""","""OF IRELAND""","""FLAT""""IA	""","""4""","""0""","""1""","""0""","""Janis Gills""","""7""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""836""","""58""","""137""","""06.09.1995""","""10°ı EC.Qualihers ""","""Daugava, Riga, ""","""Tom }:Tenning Ovrebo""","""Norway""","""3800""","""LATVIA""","""LIECHTENSTEiN	""","""1""","""0""","""0""","""0""","""Janis Gilis""","""38""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""859""","""59""","""160""","""11.10.1997""","""16th WC.Qualifiεrs ""","""Celtic Park, Glasgow, ""","""Sdndor Pillar""","""Hungary""","""47613""","""SCOTLAND""","""LATYIIA	""","""2""","""0""","""1""","""0""","""Janis Gilis""","""61""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""3"""
"""862""","""59""","""163""","""10.02.1998""","""91 Rotimans Tournament ""","""National, TaQali, ""","""Lawrence Sa►ıı/nit""","""Malta""","""2500""","""ALBANIA""","""LATViA	""","""2""","""2""","""1""","""1""","""Revaz Dzodzuashvili""","""3""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
"""868""","""60""","""169""","""06.09.1998""","""11   EC.Qualifiers ""","""Ullevaal, Oslo, ""","""Seggei Stenolik""","""Belarus""","""11030""","""NORWVAY""","""LATVIA	""","""1""","""3""","""1""","""1""","""Revaz Dzodzuashvili""","""9""","""LET""","""0""","""0""","""0""","""0""","""0""","""0""","""4"""
