"220"$"258"$"A.Benko"$"43"$"78794"$"0"
"221"$"258"$"S.Rebac"$"51"$"99298"$"0"
"222"$"259"$"Aljoša Asanović"$"29"$"2976"$"0"
"223"$"259"$"Ivan Cvjetković"$"33"$"11948"$"0"
"224"$"260"$"Zlatko Kranjćar"$"24"$"25375"$"0"
"225"$"260"$"Srečko Bogdan"$"49"$"7319"$"0"
"226"$"261"$"Fabijan Komljenović"$"65"$"8501"$"0"
"227"$"263"$"Josip Weber"$"34"$"4363"$"0"
"228"$"265"$"Davor Suker"$"45"$"1"$"0"
"229"$"265"$"Dejan Računica"$"85"$"11103"$"0"
"230"$"265"$"Davor Šuker"$"90"$"1"$"0"
"231"$"266"$"Davor Šukeг"$"13"$"1"$"0"
"232"$"266"$"Željko Adžić"$"47"$"72790"$"0"
"233"$"266"$"Miroslav Bičanić"$"60"$"8719"$"0"
"234"$"267"$"Robert Prosinečki"$"6"$"1099"$"0"
"235"$"267"$"Davor Šuker"$"51"$"1"$"0"
"236"$"268"$"Joško Popović"$"67"$"15807"$"0"
"237"$"269"$"Mladen Mladenović"$"52"$"14244"$"0"
"238"$"269"$"Mladen Mladenović"$"62"$"14244"$"0"
"239"$"271"$"Igor Cvitanović"$"3"$"14245"$"0"
"240"$"271"$"Igor Cvitanović"$"34"$"14245"$"0"
"241"$"271"$"Nikola Jurčević"$"53"$"8609"$"0"
"242"$"271"$"Miljenko Mumlek"$"89"$"14835"$"0"
"243"$"272"$"Davor Suker"$"44"$"1"$"0"
"244"$"272"$"Davor Suker"$"75"$"1"$"0"
"245"$"273"$"Nikola Jerkan"$"56"$"14242"$"0"
"246"$"273"$"Ardian Kozniku"$"61"$"2982"$"0"
"247"$"274"$"Daver duker"$"32"$"1"$"0"
"248"$"274"$"Daver duker"$"60"$"1"$"0"
"249"$"275"$"Zvonimir Boban"$"13"$"2977"$"0"
"250"$"275"$"Davor Šuker"$"21"$"1"$"0"
"251"$"275"$"Robert Prosinečki"$"70"$"1099"$"0"
"252"$"275"$"Davor Šuker"$"76"$"1"$"0"
"253"$"277"$"Robert Prosinečki"$"17"$"1099"$"0"
"254"$"277"$"Davor Šuker"$"90"$"1"$"0"
"255"$"279"$"Mladen Mladenović"$"3"$"14244"$"0"
"256"$"279"$"Davor Šuker"$"1 "$"1"$"0"
"257"$"279"$"Alen Bokšić"$"29"$"1101"$"0"
"258"$"279"$"Zvonimir Boban"$"42"$"2977"$"0"
"259"$"279"$"Davor Šuker"$"58"$"1"$"0"
"260"$"279"$"Igor Štimac"$"81"$"2974"$"0"
"261"$"279"$"Davor Šuker"$"90"$"1"$"0"
"262"$"280"$"Davor Stoker"$"47"$"1"$"0"
"263"$"281"$"Davor Šuker"$"41"$"1"$"0"
"264"$"281"$"Nikola Jurčević"$"55"$"8609"$"0"
"265"$"282"$"Elvis Brajković"$"23"$"8592"$"0"
"266"$"282"$"Igor Cvitanović"$"88"$"14245"$"0"
"267"$"283"$"Goran Vlaović"$"24"$"1094"$"0"
"268"$"283"$"Goran Vlaović"$"43"$"1094"$"0"
"269"$"283"$"Goran Vlaović"$"63"$"1094"$"0"
"270"$"284"$"Igor Štimac"$"74"$"2974"$"0"
"271"$"284"$"Goran Vlaović"$"76"$"1094"$"0"
"272"$"285"$"Elvis Rrajković"$"6"$"8592"$"0"
"273"$"285"$"Davor Šuker"$"23"$"1"$"0"
"274"$"285"$"Igor Pamić"$"65"$"8762"$"0"
"275"$"285"$"Mario Stanić"$"75"$"1102"$"0"
"276"$"287"$"Davor Šuker"$"14"$"1"$"0"
