6744,28.03.2001,LIECНТEŇSТEIN,BOSNIA-HERZEGOVINA	
6750,27.03.2002,ВOSNIA-HERZEGOVINA,MACEDONIA	
6752,21.08.2002,BOSNIA-HERZEGGVINA,YUGOSLAVIA	
6753,07.09.2002,IЮINIA-HERZEGGVINA,ROMANIA	
6755,16.10.2002,NORWAY,BΠSNIA-IIERZEGOVINA	
6757,29.03.2003,BOŚNIA-HERZEGOVINA,LUXEMBOURG	
6777,15.06.1930,BLLGARIA,YUGOSLAVIA	
6779,12.10.1930,BULGARIA,RONIAN/A	
6784,17.05.1931,BULGARIA,ITALIA B	
6788,20.03.1932,ITALIA B,BULGARIA	
6799,7.06.1933,YUGOŚLAVIA,BULGARIA	
6841,29.08.1948,BI.ILGARIA,CZECHOSLOVAKIA	
6864,23.01.1955,LIBAN,BULGARIA	
6876,5.12.1956,BULGARIA,UŚSR	
6921,30.09.1962,,
6928,30.04.1963,,
6929,2.06.1963,,
6930,16.06.1963,,
6932,18.09.1963,,
6936,18.03.1964,,
6937,1.04.1964,,
6938,23.04.1964,,
6943,23.02.1965,GRESCE,BULGARIA	
6949,27.10.1965,BELGIUІM,BULGARIA	
6954,14.06.1966,ITALIA,BULGARIA	
6959,13.11.1966,BULGARIA,NORGE	
6964,29.06.1967,NORGE,BULGARIA	
6971,6.04.1968,BŮLGARIA,ITALIA	
6973,20.04.1968,ITALIA,BULGARIA	
6976,9.10.1968,TURKЁY,BULGARIA	
6982,26.10.1968,,
6986,24.05.1969,ITALIA,BULGARIA	
7002,11.06.1970,BULGARIA,MAROC	
7003,15.11.1970,BULGARIA,NORGE	
7007,5.05.1971,BULGARIA,GREAT BRITALN	
7009,9.06.1971,NORGE,BULGARIA	
7015,24.11.1971,,
7018,16.04.1972,BULGARIA,POLANI)	
7020,31.05.1972,,
7022,21.06.1972,BULGARIA,ITALIA	
7023,11.10.1972,BULGARLA,YUGOSLAVIA B	
7028,4.02.1973,INDONEZIA,BULGARIA	
7051,19.06.1974,BULGARA,URUGUAY	
7053,25.09.1974,BULGARIA,ROМANIA	
7057,29.12.1974,IТALIA,BULGARIA	
7067,21.12.1975,MALTA,BULGA RIA	
7070,1.02.1976,JAPAN,BUl GARTA	
7073,5.05.1976,BULGARIA,NORTH KOREEA	
7101,20.09.1978,ITALIA,BULGARIA	
7113,5.05.1979,,
7124,23.05.1980,NORGE,BULGARIA 
7137,29.04.1981,BULGARIA,NORGE	
